Conditions,DateUTC,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeAKDT,TimeAKST,TimeBST,TimeGMT,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees
Haze,2016-12-06 16:50:00,9.0,,-,94,N/A,1027,10.0,,,,4:50 PM,-9999.0,ESE,7.4,120
Haze,2016-12-06 17:20:00,9.0,,-,94,N/A,1027,10.0,,,,5:20 PM,-9999.0,SE,7.4,130
Haze,2016-12-06 17:50:00,9.0,,-,88,N/A,1027,11.0,,,,5:50 PM,-9999.0,Variable,5.6,0
Overcast,2016-12-06 18:20:00,9.0,,-,88,N/A,1027,11.0,,,,6:20 PM,7.0,Variable,9.3,0
Overcast,2016-12-06 18:50:00,9.0,,31.5,88,N/A,1027,11.0,,,,6:50 PM,7.0,SSW,11.1,210
Overcast,2016-12-06 19:20:00,9.0,,-,88,N/A,1027,11.0,,,,7:20 PM,7.0,SSW,13.0,210
Overcast,2016-12-06 19:50:00,9.0,,-,88,N/A,1027,11.0,,,,7:50 PM,7.0,SW,11.1,220
Overcast,2016-12-06 20:20:00,9.0,,-,88,N/A,1027,11.0,,,,8:20 PM,7.0,Variable,11.1,0
Mostly Cloudy,2016-12-06 20:50:00,9.0,,-,88,N/A,1027,11.0,,,,8:50 PM,7.0,SW,11.1,230
Scattered Clouds,2016-12-06 21:20:00,9.0,,-,88,N/A,1027,11.0,,,,9:20 PM,6.0,WSW,11.1,240
Unknown,2016-12-06 21:50:00,9.0,,-,88,N/A,1027,11.0,,,,9:50 PM,6.0,WSW,9.3,240
Haze,2016-12-06 22:20:00,9.0,,-,88,N/A,1027,11.0,,,,10:20 PM,5.0,WSW,9.3,240
Haze,2016-12-06 22:50:00,9.0,,-,94,N/A,1027,10.0,,,,10:50 PM,5.0,Variable,3.7,0
Haze,2016-12-06 23:20:00,9.0,,-,94,N/A,1027,10.0,,,,11:20 PM,-9999.0,Variable,5.6,0
Haze,2016-12-06 23:50:00,9.0,,-,94,N/A,1027,10.0,,,,11:50 PM,-9999.0,Variable,3.7,0
Unknown,2016-11-29 00:20:00,-1.0,,-,81,N/A,1033,2.0,,,,12:20 AM,10.0,North,5.6,350
Unknown,2016-11-29 00:50:00,-1.0,,-,81,N/A,1033,2.0,,,,12:50 AM,10.0,Variable,1.9,0
Unknown,2016-11-29 01:20:00,-1.0,,-,87,N/A,1033,1.0,,,,1:20 AM,10.0,Variable,1.9,0
Unknown,2016-11-29 01:50:00,-1.0,,-,81,N/A,1033,2.0,,,,1:50 AM,10.0,NNW,3.7,330
Unknown,2016-11-29 02:20:00,-1.0,,-,87,N/A,1033,1.0,,,,2:20 AM,10.0,North,5.6,350
Unknown,2016-11-29 02:50:00,-1.0,,-,87,N/A,1033,1.0,,,,2:50 AM,10.0,NNW,3.7,340
Unknown,2016-11-29 03:20:00,-1.0,,-,87,N/A,1033,1.0,,,,3:20 AM,10.0,Variable,3.7,0
Unknown,2016-11-29 03:50:00,-1.0,,-,87,N/A,1033,1.0,,,,3:50 AM,10.0,North,3.7,350
Unknown,2016-11-29 04:20:00,-1.0,,-,87,N/A,1033,1.0,,,,4:20 AM,10.0,NNE,1.9,20
Unknown,2016-11-29 04:50:00,-1.0,,-,87,N/A,1033,1.0,,,,4:50 AM,10.0,NNE,5.6,20
Unknown,2016-11-29 05:20:00,-1.0,,-,87,N/A,1033,1.0,,,,5:20 AM,10.0,NNW,5.6,340
Unknown,2016-11-29 05:50:00,-1.0,,-,87,N/A,1033,1.0,,,,5:50 AM,10.0,Variable,5.6,0
Clear,2016-11-29 06:20:00,-1.0,,-,87,N/A,1033,1.0,,,,6:20 AM,-9999.0,Variable,5.6,0
Clear,2016-11-29 06:50:00,-1.0,,-,87,N/A,1033,1.0,,,,6:50 AM,-9999.0,Variable,5.6,0
Clear,2016-11-29 07:20:00,-1.0,,-,87,N/A,1034,1.0,,,,7:20 AM,-9999.0,Variable,5.6,0
Clear,2016-11-29 07:50:00,-1.0,,-,87,N/A,1034,1.0,,,,7:50 AM,-9999.0,NNW,5.6,340
Clear,2016-11-29 08:20:00,-1.0,,-,87,N/A,1034,1.0,,,,8:20 AM,-9999.0,Variable,3.7,0
Clear,2016-11-29 08:50:00,-1.0,,-,87,N/A,1035,1.0,,,,8:50 AM,-9999.0,North,5.6,360
Unknown,2016-11-29 09:20:00,-1.0,,-,81,N/A,1035,2.0,,,,9:20 AM,10.0,ENE,5.6,70
Clear,2016-11-29 09:50:00,0.0,,-,81,N/A,1035,3.0,,,,9:50 AM,-9999.0,ENE,9.3,70
Clear,2016-11-29 10:20:00,0.0,,-,75,N/A,1035,4.0,,,,10:20 AM,-9999.0,East,9.3,100
Unknown,2016-11-29 10:50:00,1.0,,-,76,N/A,1035,5.0,,,,10:50 AM,10.0,Variable,3.7,0
Clear,2016-11-29 11:20:00,1.0,,-,76,N/A,1035,5.0,,,,11:20 AM,-9999.0,Variable,5.6,0
Clear,2016-11-29 11:50:00,1.0,,-,70,N/A,1034,6.0,,,,11:50 AM,-9999.0,ESE,7.4,110
Clear,2016-11-29 12:20:00,1.0,,-,66,N/A,1034,7.0,,,,12:20 PM,-9999.0,Variable,5.6,0
Clear,2016-11-29 12:50:00,0.0,,-,61,N/A,1034,7.0,,,,12:50 PM,-9999.0,East,14.8,80
Unknown,2016-11-29 13:20:00,-1.0,,-,57,N/A,1034,7.0,,,,1:20 PM,10.0,East,13.0,90
Clear,2016-11-29 13:50:00,-1.0,,-,57,N/A,1034,7.0,,,,1:50 PM,-9999.0,East,16.7,90
Clear,2016-11-29 14:20:00,-3.0,,-,49,N/A,1034,7.0,,,,2:20 PM,-9999.0,East,16.7,80
Clear,2016-11-29 14:50:00,-3.0,,-,49,N/A,1034,7.0,,,,2:50 PM,-9999.0,East,16.7,90
Clear,2016-11-29 15:20:00,-3.0,,-,49,N/A,1034,7.0,,,,3:20 PM,-9999.0,East,13.0,90
Clear,2016-11-29 15:50:00,-1.0,,-,61,N/A,1034,6.0,,,,3:50 PM,-9999.0,East,9.3,80
Clear,2016-11-29 16:20:00,-2.0,,-,61,N/A,1034,5.0,,,,4:20 PM,-9999.0,ESE,13.0,110
Clear,2016-11-29 16:50:00,-2.0,,-,61,N/A,1034,5.0,,,,4:50 PM,-9999.0,ESE,7.4,110
Clear,2016-11-29 17:20:00,-1.0,,-,65,N/A,1034,5.0,,,,5:20 PM,-9999.0,ESE,7.4,110
Clear,2016-11-29 17:50:00,-1.0,,-,65,N/A,1034,5.0,,,,5:50 PM,-9999.0,Variable,5.6,0
Clear,2016-11-29 18:20:00,-1.0,,-,70,N/A,1034,4.0,,,,6:20 PM,-9999.0,NE,5.6,40
Clear,2016-11-29 18:50:00,0.0,,-,81,N/A,1034,3.0,,,,6:50 PM,-9999.0,NE,5.6,50
Clear,2016-11-29 19:20:00,0.0,,-,81,N/A,1034,3.0,,,,7:20 PM,-9999.0,NE,3.7,40
Clear,2016-11-29 19:50:00,-1.0,,-,75,N/A,1034,3.0,,,,7:50 PM,-9999.0,Variable,3.7,0
Clear,2016-11-29 20:20:00,0.0,,-,87,N/A,1035,2.0,,,,8:20 PM,-9999.0,North,7.4,350
Clear,2016-11-29 20:50:00,-1.0,,-,81,N/A,1035,2.0,,,,8:50 PM,-9999.0,Calm,Calm,0
Unknown,2016-11-29 21:20:00,-1.0,,-,81,N/A,1035,2.0,,,,9:20 PM,10.0,Variable,5.6,0
Unknown,2016-11-29 21:50:00,-2.0,,-,75,N/A,1035,2.0,,,,9:50 PM,10.0,Variable,1.9,0
Unknown,2016-11-29 22:20:00,-1.0,,-,81,N/A,1035,2.0,,,,10:20 PM,10.0,Variable,3.7,0
Unknown,2016-11-29 22:50:00,-1.0,,-,87,N/A,1035,1.0,,,,10:50 PM,10.0,SW,3.7,230
Unknown,2016-11-29 23:20:00,-1.0,,-,87,N/A,1034,1.0,,,,11:20 PM,10.0,SW,9.3,230
Unknown,2016-11-29 23:50:00,-2.0,,-,81,N/A,1035,1.0,,,,11:50 PM,10.0,West,9.3,280
Mist,2016-11-05 00:00:00,2,,,92,,1004,3,,,,12:00 AM,8,WNW,7.4,300
Mist,2016-11-05 00:50:00,1.0,,-,93,N/A,1003,2.0,,,,12:50 AM,-9999.0,West,9.3,270
Mist,2016-11-05 01:00:00,1,,,92,,1004,2,,,,1:00 AM,4.2,West,9.3,270
Fog,2016-11-05 01:50:00,0.0,Fog,-,100,N/A,1003,0.0,,,,1:50 AM,0.7,West,11.1,260
Fog,2016-11-05 02:00:00,0,Fog,,100,,1004,0,,,,2:00 AM,0.7,West,11.1,260
Partly Cloudy,2016-11-05 02:50:00,1.0,,-,100,N/A,1003,1.0,,,,2:50 AM,2.1,WSW,13.0,250
Fog,2016-11-05 03:00:00,0,Fog,,99,,1004,0,,,,3:00 AM,2.1,WSW,13.0,250
Mostly Cloudy,2016-11-05 03:50:00,1.0,,-,93,N/A,1003,2.0,,,,3:50 AM,5.0,West,13.0,280
Mist,2016-11-05 04:00:00,1,,,94,,1003,2,,,,4:00 AM,5,West,13.0,280
Partly Cloudy,2016-11-05 04:50:00,0.0,,-,93,N/A,1002,1.0,,,,4:50 AM,6.0,West,14.8,270
Mist,2016-11-05 05:00:00,0,,,93,,1003,1,,,,5:00 AM,6,West,14.8,270
Scattered Clouds,2016-11-05 05:50:00,1.0,,-,93,N/A,1002,2.0,,,,5:50 AM,9.0,West,13.0,280
Mist,2016-11-05 06:00:00,1,,,92,,1003,2,,,,6:00 AM,9,West,13.0,280
Mostly Cloudy,2016-11-05 06:50:00,2.0,,-,93,N/A,1002,3.0,,,,6:50 AM,8.0,West,16.7,280
Mist,2016-11-05 07:00:00,2,,,89,,1003,3,,,,7:00 AM,8,West,16.7,280
Mostly Cloudy,2016-11-05 07:50:00,3.0,,-,93,N/A,1002,4.0,,,,7:50 AM,7.0,West,16.7,280
Mist,2016-11-05 08:00:00,3,,,95,,1003,4,,,,8:00 AM,7,West,16.7,280
Mostly Cloudy,2016-11-05 08:50:00,4.0,,-,93,N/A,1002,5.0,,,,8:50 AM,7.0,WNW,18.5,290
Mist,2016-11-05 09:00:00,4,,,90,,1003,5,,,,9:00 AM,7,WNW,18.5,290
Haze,2016-11-05 09:50:00,5.0,,-,93,N/A,1002,6.0,,,,9:50 AM,7.0,NW,24.1,310
Mist,2016-11-05 10:00:00,5,,,87,,1003,6,,,,10:00 AM,7,NW,24.1,310
Haze,2016-11-05 10:50:00,6.0,,-,93,N/A,1002,7.0,,,,10:50 AM,6.0,NW,24.1,320
Drizzle,2016-11-05 11:00:00,6,Rain,,89,,1003,6,,,,11:00 AM,6,NW,24.1,320
Light Drizzle,2016-11-05 11:50:00,5.0,,-,87,N/A,1002,7.0,,,,11:50 AM,3.0,NW,27.8,320
Light Drizzle,2016-11-05 12:00:00,5,Rain,,88,,1003,7,,,,12:00 PM,3.0,NW,27.8,320
Haze,2016-11-05 12:50:00,5.0,,-,81,N/A,1002,8.0,,,,12:50 PM,9.0,NNW,25.9,330
Rain,2016-11-05 13:00:00,5,Rain,,75,,1003,8,,,,1:00 PM,9,NNW,25.9,330
Mostly Cloudy,2016-11-05 13:50:00,5.0,,-,76,N/A,1003,9.0,,,,1:50 PM,10.0,NNW,25.9,330
Scattered Clouds,2016-11-05 14:00:00,5,,,70,,1003,9,,,,2:00 PM,19,NNW,25.9,330
Mostly Cloudy,2016-11-05 14:50:00,3.0,,-,71,N/A,1003,8.0,,,,2:50 PM,10.0,NNW,29.6,330
Mostly Cloudy,2016-11-05 15:00:00,3,,,65,,1004,8,,,,3:00 PM,22,NNW,29.6,330
Mostly Cloudy,2016-11-05 15:50:00,3.0,,-,76,N/A,1004,7.0,,,,3:50 PM,10.0,NNW,25.9,330
Partly Cloudy,2016-11-05 16:00:00,2,,,66,,1004,6,,,,4:00 PM,26,NNW,25.9,330
Scattered Clouds,2016-11-05 16:50:00,2.0,,-,81,N/A,1004,5.0,,,,4:50 PM,10.0,NNW,25.9,330
Partly Cloudy,2016-11-05 17:00:00,2,,,76,,1005,5,,,,5:00 PM,45,NNW,25.9,330
Mostly Cloudy,2016-11-05 17:50:00,2.0,,-,81,N/A,1004,5.0,,,,5:50 PM,10.0,NNW,27.8,330
Rain,2016-11-05 18:00:00,2,Rain,,76,,1005,5,,,,6:00 PM,45,NNW,27.8,330
Partly Cloudy,2016-11-05 18:50:00,2.0,,-,87,N/A,1005,4.0,,,,6:50 PM,10.0,NNW,25.9,330
Scattered Clouds,2016-11-05 19:00:00,2,,,80,,1005,4,,,,7:00 PM,30,NNW,25.9,330
Partly Cloudy,2016-11-05 19:50:00,2.0,,-,87,N/A,1004,4.0,,,,7:50 PM,10.0,NNW,27.8,330
Scattered Clouds,2016-11-05 20:00:00,2,,,83,,1005,4,,,,8:00 PM,17,NNW,27.8,330
Unknown,2016-11-05 20:50:00,1.0,,-,87,N/A,1004,3.0,,,,8:50 PM,10.0,NW,27.8,320
,2016-11-05 21:00:00,1,,,79,,1005,3,,,,9:00 PM,15,NW,27.8,320
Unknown,2016-11-05 21:50:00,1.0,,-,87,N/A,1004,3.0,,,,9:50 PM,10.0,NW,24.1,320
,2016-11-05 22:00:00,1,,,82,,1005,3,,,,10:00 PM,15,NW,24.1,320
Unknown,2016-11-05 22:50:00,0.0,,-,81,N/A,1004,3.0,,,,10:50 PM,10.0,NW,25.9,320
,2016-11-05 23:00:00,0,,,75,,1005,3,,,,11:00 PM,13,NW,25.9,320
Unknown,2016-11-05 23:50:00,0.0,,-,87,N/A,1004,2.0,,,,11:50 PM,10.0,NW,25.9,320
Unknown,2016-11-19 00:20:00,1.0,,-,76,N/A,1000,5.0,,,,12:20 AM,10.0,SW,9.3,220
Unknown,2016-11-19 00:50:00,1.0,,-,81,N/A,1000,4.0,,,,12:50 AM,10.0,SW,11.1,220
Unknown,2016-11-19 01:20:00,1.0,,-,81,N/A,1000,4.0,,,,1:20 AM,10.0,WSW,14.8,240
Unknown,2016-11-19 01:50:00,1.0,,-,81,N/A,1000,4.0,,,,1:50 AM,10.0,West,16.7,260
Unknown,2016-11-19 02:20:00,2.0,,-,87,N/A,1000,4.0,,,,2:20 AM,10.0,WSW,16.7,240
Unknown,2016-11-19 02:50:00,1.0,,-,81,N/A,1000,4.0,,,,2:50 AM,10.0,WSW,16.7,240
Unknown,2016-11-19 03:20:00,2.0,,-,87,N/A,1000,4.0,,,,3:20 AM,10.0,SW,16.7,230
Unknown,2016-11-19 03:50:00,1.0,,-,81,N/A,1000,4.0,,,,3:50 AM,10.0,WSW,20.4,240
Unknown,2016-11-19 04:20:00,1.0,,-,81,N/A,1001,4.0,,,,4:20 AM,10.0,WSW,16.7,250
Unknown,2016-11-19 04:50:00,1.0,,-,81,N/A,1001,4.0,,,,4:50 AM,10.0,SW,16.7,230
Unknown,2016-11-19 05:20:00,1.0,,-,81,N/A,1001,4.0,,,,5:20 AM,10.0,WSW,22.2,240
Unknown,2016-11-19 05:50:00,1.0,,-,81,N/A,1001,4.0,,,,5:50 AM,10.0,WSW,22.2,240
Clear,2016-11-19 06:20:00,1.0,,-,81,N/A,1002,4.0,,,,6:20 AM,-9999.0,WSW,24.1,240
Clear,2016-11-19 06:50:00,1.0,,-,81,N/A,1002,4.0,,,,6:50 AM,-9999.0,WSW,20.4,250
Clear,2016-11-19 07:20:00,1.0,,-,81,N/A,1002,4.0,,,,7:20 AM,-9999.0,WSW,16.7,240
Clear,2016-11-19 07:50:00,1.0,,-,81,N/A,1002,4.0,,,,7:50 AM,-9999.0,WSW,16.7,250
Clear,2016-11-19 08:20:00,1.0,,-,81,N/A,1003,4.0,,,,8:20 AM,-9999.0,WSW,14.8,240
Clear,2016-11-19 08:50:00,2.0,,-,87,N/A,1003,4.0,,,,8:50 AM,-9999.0,SW,16.7,220
Clear,2016-11-19 09:20:00,2.0,,-,81,N/A,1003,5.0,,,,9:20 AM,-9999.0,WSW,16.7,240
Clear,2016-11-19 09:50:00,2.0,,-,81,N/A,1003,5.0,,,,9:50 AM,-9999.0,WSW,18.5,240
Clear,2016-11-19 10:20:00,2.0,,-,76,N/A,1003,6.0,,,,10:20 AM,-9999.0,WSW,18.5,240
Clear,2016-11-19 10:50:00,2.0,,-,71,N/A,1003,7.0,,,,10:50 AM,-9999.0,WSW,16.7,250
Clear,2016-11-19 11:20:00,2.0,,-,71,N/A,1003,7.0,,,,11:20 AM,-9999.0,WSW,16.7,240
Clear,2016-11-19 11:50:00,1.0,,-,66,N/A,1003,7.0,,,,11:50 AM,-9999.0,WSW,20.4,240
Clear,2016-11-19 12:20:00,2.0,,-,66,N/A,1003,8.0,,,,12:20 PM,-9999.0,SW,18.5,230
Unknown,2016-11-19 12:50:00,2.0,,-,66,N/A,1003,8.0,,,,12:50 PM,10.0,SW,18.5,230
Unknown,2016-11-19 13:20:00,1.0,,-,62,N/A,1002,8.0,,,,1:20 PM,10.0,SSW,14.8,200
Unknown,2016-11-19 13:50:00,2.0,,-,66,N/A,1002,8.0,,,,1:50 PM,10.0,SSW,14.8,200
Unknown,2016-11-19 14:20:00,1.0,,-,62,N/A,1001,8.0,,,,2:20 PM,10.0,SSW,16.7,200
Unknown,2016-11-19 14:50:00,1.0,,-,62,N/A,1001,8.0,,,,2:50 PM,10.0,SSW,14.8,200
Unknown,2016-11-19 15:20:00,2.0,,-,66,N/A,1001,8.0,,,,3:20 PM,10.0,South,13.0,190
Unknown,2016-11-19 15:50:00,2.0,,-,66,N/A,1001,8.0,,,,3:50 PM,10.0,South,18.5,190
Light Rain Showers,2016-11-19 16:20:00,3.0,Rain,-,76,N/A,1001,7.0,,,,4:20 PM,10.0,South,16.7,170
Unknown,2016-11-19 16:50:00,3.0,,-,81,N/A,1000,6.0,,,,4:50 PM,10.0,SSE,16.7,160
Unknown,2016-11-19 17:20:00,3.0,,-,81,N/A,1000,6.0,,,,5:20 PM,10.0,SSE,13.0,150
Unknown,2016-11-19 17:50:00,3.0,,-,81,N/A,1000,6.0,,,,5:50 PM,10.0,SSE,14.8,160
Drizzle,2016-11-19 18:20:00,4.0,,-,81,N/A,999,7.0,,,,6:20 PM,10.0,SSE,16.7,160
Rain,2016-11-19 18:50:00,4.0,Rain,-,87,N/A,999,6.0,,,,6:50 PM,10.0,SSE,14.8,150
Light Rain,2016-11-19 19:20:00,4.0,Rain,-,87,N/A,998,6.0,,,,7:20 PM,10.0,SSE,13.0,150
Light Rain,2016-11-19 19:50:00,4.0,Rain,-,87,N/A,998,6.0,,,,7:50 PM,10.0,SSE,13.0,150
Light Drizzle,2016-11-19 20:20:00,4.0,,-,87,N/A,997,6.0,,,,8:20 PM,10.0,SE,14.8,130
Light Drizzle,2016-11-19 20:50:00,5.0,,-,93,N/A,996,6.0,,,,8:50 PM,10.0,ESE,14.8,120
Heavy Rain,2016-11-19 21:20:00,5.0,Rain,-,93,N/A,995,6.0,,,,9:20 PM,6.0,ESE,14.8,120
Rain,2016-11-19 21:50:00,5.0,Rain,-,93,N/A,994,6.0,,,,9:50 PM,10.0,East,16.7,100
Light Rain Showers,2016-11-19 22:20:00,5.0,Rain,-,93,N/A,993,6.0,,,,10:20 PM,10.0,East,18.5,90
Light Rain Showers,2016-11-19 22:50:00,5.0,Rain,-,93,N/A,992,6.0,,,,10:50 PM,10.0,East,18.5,100
Light Rain Showers,2016-11-19 23:20:00,5.0,Rain,-,93,N/A,991,6.0,,,,11:20 PM,10.0,East,16.7,100
Light Rain Showers,2016-11-19 23:50:00,6.0,Rain,-,87,N/A,990,8.0,,,,11:50 PM,10.0,SE,16.7,130
Mostly Cloudy,2016-11-22 00:00:00,8,,,80,,988,10,,,,12:00 AM,28,SSE,14.8,160
Scattered Clouds,2016-11-22 00:50:00,8.0,,-,87,N/A,988,10.0,,,,12:50 AM,6.0,South,18.5,170
Scattered Clouds,2016-11-22 01:00:00,8,,,83,,988,10,,,,1:00 AM,6,South,18.5,170
Mostly Cloudy,2016-11-22 01:50:00,6.0,,-,82,N/A,988,9.0,,,,1:50 AM,10.0,SSE,20.4,160
Scattered Clouds,2016-11-22 02:00:00,6,,,78,,988,9,,,,2:00 AM,12,SSE,20.4,160
Scattered Clouds,2016-11-22 02:50:00,7.0,,-,87,N/A,988,9.0,,,,2:50 AM,10.0,SE,20.4,140
Mostly Cloudy,2016-11-22 03:00:00,7,,,86,,988,9,,,,3:00 AM,30,SE,20.4,140
Mostly Cloudy,2016-11-22 03:50:00,7.0,,51.9,82,N/A,987,10.0,,,,3:50 AM,10.0,SSE,31.5,160
Mostly Cloudy,2016-11-22 04:00:00,7,,,81,,988,10,,,,4:00 AM,40,SSE,31.5,160
Partly Cloudy,2016-11-22 04:50:00,6.0,,-,82,N/A,989,9.0,,,,4:50 AM,10.0,South,27.8,190
Scattered Clouds,2016-11-22 05:00:00,6,,,74,,990,9,,,,5:00 AM,40,South,27.8,190
Mostly Cloudy,2016-11-22 05:50:00,7.0,,-,87,N/A,991,9.0,,,,5:50 AM,10.0,South,22.2,190
Scattered Clouds,2016-11-22 06:00:00,7,,,80,,992,9,,,,6:00 AM,35,South,22.2,190
Mostly Cloudy,2016-11-22 06:50:00,7.0,,-,87,N/A,993,9.0,,,,6:50 AM,10.0,South,22.2,190
Mostly Cloudy,2016-11-22 07:00:00,7,,,77,,994,9,,,,7:00 AM,30,South,22.2,190
Mostly Cloudy,2016-11-22 07:50:00,6.0,,-,82,N/A,995,9.0,,,,7:50 AM,10.0,SSW,24.1,200
Mostly Cloudy,2016-11-22 08:00:00,6,,,71,,996,9,,,,8:00 AM,40,SSW,24.1,200
Mostly Cloudy,2016-11-22 08:50:00,6.0,,-,76,N/A,997,10.0,,,,8:50 AM,10.0,SSW,20.4,200
Mostly Cloudy,2016-11-22 09:00:00,6,,,69,,997,10,,,,9:00 AM,40,SSW,20.4,200
Mostly Cloudy,2016-11-22 09:50:00,6.0,,46.3,71,N/A,999,11.0,,,,9:50 AM,10.0,SSW,25.9,200
Mostly Cloudy,2016-11-22 10:00:00,6,,,61,,999,11,,,,10:00 AM,40,SSW,25.9,200
Light Rain Showers,2016-11-22 10:50:00,7.0,Rain,-,82,N/A,1000,10.0,,,,10:50 AM,10.0,SSW,31.5,200
Light Rain Showers,2016-11-22 11:00:00,6,Rain,,72,,,10,,,,11:00 AM,20,SSW,31.5,200
Light Rain Showers,2016-11-22 11:07:00,6.0,Rain,-,76,N/A,1000,10.0,,,,11:07 AM,10.0,SSW,27.8,210
Mostly Cloudy,2016-11-22 11:14:00,7.0,,-,82,N/A,1000,10.0,,,,11:14 AM,10.0,SW,25.9,220
Light Rain Showers,2016-11-22 11:50:00,7.0,Rain,-,82,N/A,1001,10.0,,,,11:50 AM,10.0,SW,22.2,220
Light Rain Showers,2016-11-22 12:00:00,7,Rain,,73,,1001,10,,,,12:00 PM,25,SW,22.2,220
Mostly Cloudy,2016-11-22 12:50:00,5.0,,-,67,N/A,1001,11.0,,,,12:50 PM,10.0,SSW,31.5,210
Light Rain Showers,2016-11-22 13:00:00,5,Rain,,54,,1002,11,,,,1:00 PM,40,SSW,31.5,210
Scattered Clouds,2016-11-22 13:50:00,4.0,,-,58,N/A,1002,12.0,,,,1:50 PM,10.0,SSW,20.4,210
Partly Cloudy,2016-11-22 14:00:00,4,,,47,,1002,12,,,,2:00 PM,50,SSW,20.4,210
